GameID,Uid,Comment,Stars,Date
1150,7,Needs more content and better controls.,2,2024-01-31
1073,9,Beautiful visuals but poor optimization.,1,2024-05-02
1113,2,Not what I expected - could be better.,3,2024-03-26
1057,9,Pretty average overall.,4,2025-03-14
1175,9,Beautiful visuals but poor optimization.,4,2023-11-04
1157,13,Needs more content and better controls.,5,2023-08-15
1178,11,Disappointing - had high hopes.,1,2024-12-18
1059,13,Pretty average overall.,4,2024-03-21
1144,7,Disappointing - had high hopes.,3,2023-06-08
1061,1,Good game but has some bugs.,3,2025-03-12
1034,12,Awesome experience - will play again.,2,2023-09-04
1111,7,Awesome experience - will play again.,4,2023-10-25
1069,2,Too short - finished in one evening.,4,2023-05-14
1062,11,Absolutely loved it! Highly recommended.,1,2024-11-07
1013,1,Good game but has some bugs.,4,2024-03-08
1077,13,Not what I expected - could be better.,1,2023-06-26
1112,13,Best game I've played this year!,2,2024-08-06
1031,4,Pretty average overall.,4,2025-03-17
1105,13,Awesome experience - will play again.,4,2024-05-16
1113,5,Pretty average overall.,2,2023-12-20
1012,6,Pretty average overall.,1,2023-06-14
1195,11,Good game but has some bugs.,1,2025-03-09
1128,11,Not what I expected - could be better.,3,2024-03-25
1071,9,Storyline was gripping and emotional.,2,2024-04-28
1157,4,Absolutely loved it! Highly recommended.,3,2023-05-28
1068,11,Enjoyed playing with friends - great multiplayer.,2,2025-02-08
1109,13,Excellent voice acting and plot.,3,2025-02-01
1174,10,Excellent voice acting and plot.,2,2024-09-05
1014,3,Fantastic gameplay and graphics!,1,2024-10-21
1209,2,Fantastic gameplay and graphics!,4,2024-12-21
1197,11,Absolutely loved it! Highly recommended.,3,2023-11-19
1063,3,Fantastic gameplay and graphics!,4,2024-02-01
1054,1,Disappointing - had high hopes.,4,2024-05-11
1024,5,Not what I expected - could be better.,5,2023-09-02
1046,3,Enjoyed playing with friends - great multiplayer.,5,2024-04-15
1189,2,Awesome experience - will play again.,3,2023-08-25
1038,1,Best game I've played this year!,1,2023-07-24
1176,13,Storyline was gripping and emotional.,2,2024-07-01
1067,10,Best game I've played this year!,2,2024-07-06
1184,6,Not what I expected - could be better.,4,2023-12-11
1175,5,Solid mechanics but lacking originality.,3,2024-08-02
1026,6,Good game but has some bugs.,5,2025-03-20
1166,7,Not what I expected - could be better.,4,2024-08-11
1067,5,Best game I've played this year!,1,2023-12-05
1106,6,Solid mechanics but lacking originality.,5,2023-11-17
1156,4,Beautiful visuals but poor optimization.,1,2025-04-12
1090,2,Good game but has some bugs.,3,2023-09-03
1105,5,Super fun and addictive.,5,2024-03-23
1091,13,Pretty average overall.,5,2024-07-31
1061,3,Enjoyed playing with friends - great multiplayer.,2,2023-12-14
1080,9,Super fun and addictive.,4,2025-05-01
1149,12,Solid mechanics but lacking originality.,4,2025-01-16
1124,6,Not what I expected - could be better.,2,2024-03-14
1093,13,Solid mechanics but lacking originality.,3,2024-10-23
1052,13,Pretty average overall.,5,2023-08-11
1198,9,Super fun and addictive.,3,2024-09-07
1208,10,Not what I expected - could be better.,2,2024-07-30
1101,8,Super fun and addictive.,5,2025-01-09
1194,4,Needs more content and better controls.,2,2023-10-17
1178,7,Storyline was gripping and emotional.,3,2023-12-05
1171,2,Needs more content and better controls.,2,2023-12-05
1145,2,Not what I expected - could be better.,2,2025-01-24
1041,7,Good game but has some bugs.,3,2024-03-16
1053,12,Needs more content and better controls.,4,2023-06-23
1130,6,Absolutely loved it! Highly recommended.,1,2025-02-27
1013,3,Needs more content and better controls.,1,2023-06-01
1119,3,Excellent voice acting and plot.,1,2024-01-02
